127.0.0.1 - - [08/Aug/2020:23:57:58 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:02 -0300] "GET /cherry/ HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:02 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:38 -0300] "GET /cherry/ HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:38 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:39 -0300] "GET /cherry/componentes/AppBlock.js HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:39 -0300] "GET /cherry/layouts/LayoutDefault.js HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:39 -0300] "GET /cherry/js/telas.js HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:39 -0300] "GET /cherry/imgs/cereja.png HTTP/1.1" 200 15757
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:58:40 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Aug/2020:23:59:55 -0300] "GET /cherry HTTP/1.1" 302 -
