127.0.0.1 - - [03/Aug/2020:23:20:19 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:20:21 -0300] "GET /cherry/ HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:20:21 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:21:10 -0300] "GET /cherry/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:21:10 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:21:11 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:22:38 -0300] "GET /cherry/auth/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:22:38 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:22:38 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:22:38 -0300] "GET /cherry/js/utils.js HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:22:38 -0300] "GET /cherry/js/login.js HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:22:38 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:22:43 -0300] "POST /cherry/auth/login/ HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:03 -0300] "POST /cherry/auth/login/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:03 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:03 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:03 -0300] "GET /cherry/js/utils.js HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:03 -0300] "GET /cherry/js/login.js HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:03 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:03 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:05 -0300] "GET /cherry/auth/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:05 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:26:07 -0300] "POST /cherry/auth/login/loginValidate HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:28:12 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:28:12 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [03/Aug/2020:23:28:12 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1435
