127.0.0.1 - - [02/Aug/2020:21:29:30 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:29:32 -0300] "GET /cherry/index.html HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:29:32 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:32 -0300] "GET /cherry/index.html HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:32 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:33 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:37 -0300] "GET /cherry HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:37 -0300] "GET /cherry/ HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:44 -0300] "GET /cherry/auth/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:44 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1981
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:44 -0300] "GET /cherry/auth/login/imgs/cereja.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:30:44 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:47 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1981
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:47 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:47 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:47 -0300] "GET /cherry/auth/login/imgs/cereja.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:47 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:53 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1987
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:53 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:53 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:53 -0300] "GET /cherry/imgs/cereja.png HTTP/1.1" 200 10898
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:31:53 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:32:11 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:32:11 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:32:11 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:32:12 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:32:12 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:36 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:37 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:37 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:37 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:37 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:48 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:48 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:48 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:48 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:37:48 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:10 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:10 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:10 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:10 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:10 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:23 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:23 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:23 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:23 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:23 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:34 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:34 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:34 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:34 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:34 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:36 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:36 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:36 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:36 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:36 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:39 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:51 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:51 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:51 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:51 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:39:51 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:03 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:03 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:03 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:03 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:04 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:04 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:04 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:04 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:04 -0300] "GET /cherry/imgs/logo.png HTTP/1.1" 200 22111
0:0:0:0:0:0:0:1 - - [02/Aug/2020:21:40:04 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Aug/2020:22:01:19 -0300] "GET /cherry/auth/login/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [02/Aug/2020:22:01:20 -0300] "GET /cherry/css/style.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [02/Aug/2020:22:01:20 -0300] "GET /cherry/css/login.css HTTP/1.1" 200 1226
